sample-id	sublibrary_id	sample_type	management_type	farmer	farm_id	tree_id	collection_batch	extraction_batch	pcr_batch_16s	fwd_primer_16s	rev_primer_16s	dna_concentration_hs_16s	qubit_batch_16s	pcr_batch_its1	fwd_primer_its1	rev_primer_its1	dna_concentration_hs_its1	qubit_batch_its1	is_specimen	dye	dye_concentration	specimen_qc_pass	is_pollination_dic	pi_dic	is_pollination_clsm	pi_clsm	is_germination	callose_plug_index	is_hyphae_present	is_spore_present	fungal_colonization_score	is_insect_present	
cibNC	A1_13A_13_12	negative_pcr_control	negative_pcr_control	negative_pcr_control	negative_pcr_control	negative_pcr_control	NA	NA	2024-10-14	515fA	806r1	1,050	2024-12-07	2024-10-02	ITS1fA	ITS2r2	0,266	2024-12-29	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
cibPC	H3_20H_13_03	mock_community	mock_community	mock_community	mock_community	mock_community	NA	NA	2024-10-14	515fA	806r1	25,400	2024-12-07	2024-10-02	ITS1fA	ITS2r2	17,800	2024-12-29	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
pib11	C4_14C_13_04	unbagged_flower	inside_forest	issac_boadu	ib	ib1	2023-12-15	2024-10-03	2024-10-24	515fA	806r2	27,400	2024-12-07	2024-10-04	ITS1fA	ITS2r3	41,000	2024-12-29	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	
pib12	D4_14B_13_04	unbagged_flower	inside_forest	issac_boadu	ib	ib1	2023-12-15	2024-10-03	2024-10-24	515fA	806r2	10,300	2024-12-07	2024-10-04	ITS1fA	ITS2r3	49,600	2024-12-29	1	dAB	0,1%	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	
pib13	E4_13E_13_04	unbagged_flower	inside_forest	issac_boadu	ib	ib1	2023-12-15	2024-10-03	2024-10-24	515fA	806r2	21,600	2024-12-07	2024-10-04	ITS1fA	ITS2r3	54,600	2024-12-29	1	RR	0,001%	1	0	0	0	0	NA	NA	NA	NA	NA	0	
pib21	F4_13F_13_04	unbagged_flower	inside_forest	issac_boadu	ib	ib2	2023-12-15	2024-10-03	2024-10-24	515fA	806r2	29,800	2024-12-07	2024-10-04	ITS1fA	ITS2r3	12,400	2024-12-29	1	dAB	0,1%	1	0	0	1	1	1	220	0	0	0	0	
pib22	G4_13G_13_04	unbagged_flower	inside_forest	issac_boadu	ib	ib2	2023-12-15	2024-10-03	2024-10-24	515fA	806r2	27,600	2024-12-07	2024-10-04	ITS1fA	ITS2r3	9,020	2024-12-29	1	dAB	0,1%	1	0	0	1	15	1	58	0	0	0	0	
pib23	H4_20H_13_04	unbagged_flower	inside_forest	issac_boadu	ib	ib2	2023-12-15	2024-10-03	2024-10-24	515fA	806r2	10,500	2024-12-07	2024-10-04	ITS1fA	ITS2r3	6,460	2024-12-29	1	dAB	0,1%	1	0	0	1	75	1	357	1	0	1	0	
pib31	A5_13A_19_08	unbagged_flower	inside_forest	issac_boadu	ib	ib3	2023-12-15	2024-10-03	2024-10-24	515fA	806r2	70,200	2024-12-07	2024-10-04	ITS1fA	ITS2r3	70,800	2024-12-29	1	dAB	0,1%	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	
pib32	B5_13B_19_08	unbagged_flower	inside_forest	issac_boadu	ib	ib3	2023-12-15	2024-10-03	2024-10-24	515fA	806r2	69,400	2024-12-07	2024-10-04	ITS1fA	ITS2r3	72,600	2024-12-29	1	dAB	0,01%	1	0	0	1	11	0	0	0	0	0	0	
pib33	C5_14C_19_08	unbagged_flower	inside_forest	issac_boadu	ib	ib3	2023-12-15	2024-10-03	2024-10-24	515fA	806r2	62,800	2024-12-07	2024-10-04	ITS1fA	ITS2r3	59,400	2024-12-29	1	dAB	0,1%	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	
pib41	D5_14B_19_08	unbagged_flower	inside_forest	issac_boadu	ib	ib4	2023-12-15	2024-10-03	2024-10-24	515fA	806r2	31,800	2024-12-07	2024-10-04	ITS1fA	ITS2r3	68,800	2024-12-29	1	dAB	0,1%	1	0	0	1	18	1	117	1	0	5	0	
pib42	E5_13E_19_08	unbagged_flower	inside_forest	issac_boadu	ib	ib4	2023-12-15	2024-10-03	2024-10-24	515fA	806r2	34,400	2024-12-07	2024-10-04	ITS1fA	ITS2r3	51,200	2024-12-29	1	dAB	0,1%	1	0	0	1	10	0	0	1	0	2	0	
pib43	F5_13F_19_08	unbagged_flower	inside_forest	issac_boadu	ib	ib4	2023-12-15	2024-10-03	2024-10-24	515fA	806r2	41,800	2024-12-07	2024-10-04	ITS1fA	ITS2r3	12,800	2024-12-29	1	dAB	0,1%	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	
pib51	G5_13G_19_08	unbagged_flower	inside_forest	issac_boadu	ib	ib5	2023-12-15	2024-10-03	2024-10-24	515fA	806r2	44,200	2024-12-07	2024-10-04	ITS1fA	ITS2r3	11,400	2024-12-29	1	dAB	0,1%	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	
pib52	H5_20H_19_08	unbagged_flower	inside_forest	issac_boadu	ib	ib5	2023-12-15	2024-10-03	2024-10-24	515fA	806r2	28,000	2024-12-07	2024-10-04	ITS1fA	ITS2r3	14,200	2024-12-29	1	no_stain	NA	1	1	44	1	253	NA	NA	NA	NA	NA	0	
pib53	A6_13A_13_06	unbagged_flower	inside_forest	issac_boadu	ib	ib5	2023-12-15	2024-10-03	2024-10-24	515fA	806r2	57,400	2024-12-07	2024-10-04	ITS1fA	ITS2r3	16,300	2024-12-29	1	dAB	0,01%	1	1	45	1	162	1	312	0	0	0	0	
pib61	B6_13B_13_06	unbagged_flower	inside_forest	issac_boadu	ib	ib6	2023-12-15	2024-10-03	2024-10-24	515fA	806r2	68,000	2024-12-07	2024-10-04	ITS1fA	ITS2r3	35,800	2024-12-29	1	RR	0,01%	1	0	0	1	2	NA	NA	NA	NA	NA	0	
pib62	C6_14C_13_06	unbagged_flower	inside_forest	issac_boadu	ib	ib6	2023-12-15	2024-10-03	2024-10-24	515fA	806r2	33,700	2024-12-07	2024-10-04	ITS1fA	ITS2r3	49,600	2024-12-29	1	dAB	0,01%	1	0	0	1	8	0	0	0	0	0	0	
pib63	D6_14B_13_06	unbagged_flower	inside_forest	issac_boadu	ib	ib6	2023-12-15	2024-10-03	2024-10-24	515fA	806r2	36,600	2024-12-07	2024-10-04	ITS1fA	ITS2r3	50,000	2024-12-29	1	dAB	0,1%	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	
pib71	E6_13E_13_06	unbagged_flower	inside_forest	issac_boadu	ib	ib7	2023-12-15	2024-10-03	2024-10-24	515fA	806r2	33,800	2024-12-07	2024-10-04	ITS1fA	ITS2r3	26,800	2024-12-29	1	dAB	0,01%	1	0	0	1	NA	1	176	1	0	1	0	
pib72	F6_13F_13_06	unbagged_flower	inside_forest	issac_boadu	ib	ib7	2023-12-15	2024-10-03	2024-10-24	515fA	806r2	34,400	2024-12-07	2024-10-04	ITS1fA	ITS2r3	39,600	2024-12-29	1	dAB	0,01%	1	0	0	0	0	0	0	1	0	1	0	
pib73	G6_13G_13_06	unbagged_flower	inside_forest	issac_boadu	ib	ib7	2023-12-15	2024-10-03	2024-10-24	515fA	806r2	65,200	2024-12-07	2024-10-04	ITS1fA	ITS2r3	9,840	2024-12-29	1	dAB	0,01%	1	0	0	1	3	0	0	0	0	0	0	
pibEC	B4_13B_13_04	extraction_control	extraction_control	extraction_control	extraction_control	extraction_control	NA	2024-10-03	2024-10-24	515fA	806r2	1,190	2024-12-07	2024-10-04	ITS1fA	ITS2r3	0,150	2024-12-29	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
pibNC	A4_13A_13_04	negative_pcr_control	negative_pcr_control	negative_pcr_control	negative_pcr_control	negative_pcr_control	NA	NA	2024-10-24	515fA	806r2	1,760	2024-12-07	2024-10-04	ITS1fA	ITS2r3	0,256	2024-12-29	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
pibPC	H6_20H_13_06	mock_community	mock_community	mock_community	mock_community	mock_community	NA	NA	2024-10-24	515fA	806r2	55,000	2024-12-07	2024-10-04	ITS1fA	ITS2r3	17,500	2024-12-29	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
cvi11	C1_14C_13_12	bagged_flower	full_sun	victor	vi	vi1	2023-12-14	2024-10-06	2024-10-29	515fA	806r3	29,000	2024-12-07	2024-10-07	ITS1fA	ITS2r4	16,200	2024-12-29	1	dAB	0,1%	1	0	0	0	0	0	0	0	0	0	1	
cvi12	D1_14B_13_12	bagged_flower	full_sun	victor	vi	vi1	2023-12-14	2024-10-06	2024-10-29	515fA	806r3	25,800	2024-12-07	2024-10-07	ITS1fA	ITS2r4	3,460	2024-12-29	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	
cvi13	E1_13E_13_12	bagged_flower	full_sun	victor	vi	vi1	2023-12-14	2024-10-06	2024-10-29	515fA	806r3	11,800	2024-12-07	2024-10-07	ITS1fA	ITS2r4	9,240	2024-12-29	1	dAB	0,1%	1	0	0	0	0	0	0	0	0	0	0	
cvi21	F1_13F_13_12	bagged_flower	full_sun	victor	vi	vi2	2023-12-14	2024-10-06	2024-10-29	515fA	806r3	25,000	2024-12-07	2024-10-07	ITS1fA	ITS2r4	3,020	2024-12-29	1	dAB	0,1%	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	
cvi22	G1_13G_13_12	bagged_flower	full_sun	victor	vi	vi2	2023-12-14	2024-10-06	2024-10-29	515fA	806r3	8,820	2024-12-07	2024-10-07	ITS1fA	ITS2r4	3,560	2024-12-29	1	dAB	0,1%	1	0	0	0	0	0	0	0	0	0	0	
cvi23	H1_20H_13_12	bagged_flower	full_sun	victor	vi	vi2	2023-12-14	2024-10-06	2024-10-29	515fA	806r3	6,220	2024-12-07	2024-10-07	ITS1fA	ITS2r4	5,060	2024-12-29	1	dAB	0,1%	1	0	0	0	0	0	0	0	0	0	0	
cvi31	A2_13A_13_02	bagged_flower	full_sun	victor	vi	vi3	2023-12-14	2024-10-06	2024-10-29	515fA	806r3	36,600	2024-12-07	2024-10-07	ITS1fA	ITS2r4	12,700	2024-12-29	1	dAB	0,1%	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	
cvi32	B2_13B_13_02	bagged_flower	full_sun	victor	vi	vi3	2023-12-14	2024-10-06	2024-10-29	515fA	806r3	52,400	2024-12-07	2024-10-07	ITS1fA	ITS2r4	13,600	2024-12-29	1	dAB	0,1%	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	
cvi33	C2_14C_13_02	bagged_flower	full_sun	victor	vi	vi3	2023-12-14	2024-10-06	2024-10-29	515fA	806r3	35,000	2024-12-07	2024-10-07	ITS1fA	ITS2r4	29,000	2024-12-29	1	dAB	0,1%	1	0	0	0	0	0	0	0	0	0	0	
cvi41	D2_14B_13_02	bagged_flower	full_sun	victor	vi	vi4	2023-12-14	2024-10-06	2024-10-29	515fA	806r3	28,200	2024-12-07	2024-10-07	ITS1fA	ITS2r4	23,400	2024-12-29	1	dAB	0,1%	1	0	0	1	1	0	0	0	0	0	0	
cvi42	E2_13E_13_02	bagged_flower	full_sun	victor	vi	vi4	2023-12-14	2024-10-06	2024-10-29	515fA	806r3	24,600	2024-12-07	2024-10-07	ITS1fA	ITS2r4	10,100	2024-12-29	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	
cvi43	F2_13F_13_02	bagged_flower	full_sun	victor	vi	vi4	2023-12-14	2024-10-06	2024-10-29	515fA	806r3	23,400	2024-12-07	2024-10-07	ITS1fA	ITS2r4	13,800	2024-12-29	1	dAB	0,1%	1	1	5	1	6	0	0	0	0	0	0	
cvi51	G2_13G_13_02	bagged_flower	full_sun	victor	vi	vi5	2023-12-14	2024-10-06	2024-10-29	515fA	806r3	21,200	2024-12-07	2024-10-07	ITS1fA	ITS2r4	4,300	2024-12-29	1	dAB	0,1%	1	0	0	0	0	0	0	0	0	0	1	
cvi52	H2_20H_13_02	bagged_flower	full_sun	victor	vi	vi5	2023-12-14	2024-10-06	2024-10-29	515fA	806r3	36,000	2024-12-07	2024-10-07	ITS1fA	ITS2r4	4,400	2024-12-29	1	dAB	0,1%	1	0	0	1	2	0	0	0	0	0	0	
cvi53	A3_13A_13_03	bagged_flower	full_sun	victor	vi	vi5	2023-12-14	2024-10-06	2024-10-29	515fA	806r3	15,200	2024-12-07	2024-10-07	ITS1fA	ITS2r4	1,540	2024-12-29	1	dAB	0,1%	1	1	2	1	2	0	0	0	0	0	0	
cvi61	B3_13B_13_03	bagged_flower	full_sun	victor	vi	vi6	2023-12-14	2024-10-06	2024-10-29	515fA	806r3	31,200	2024-12-07	2024-10-07	ITS1fA	ITS2r4	4,660	2024-12-29	1	dAB	0,1%	1	0	0	0	0	0	0	0	0	0	0	
cvi62	C3_14C_13_03	bagged_flower	full_sun	victor	vi	vi6	2023-12-14	2024-10-06	2024-10-29	515fA	806r3	40,600	2024-12-07	2024-10-07	ITS1fA	ITS2r4	2,200	2024-12-29	1	dAB	0,1%	1	0	0	0	0	0	0	0	0	0	0	
cvi63	D3_14B_13_03	bagged_flower	full_sun	victor	vi	vi6	2023-12-14	2024-10-06	2024-10-29	515fA	806r3	14,700	2024-12-07	2024-10-07	ITS1fA	ITS2r4	1,850	2024-12-29	1	dAB	0,1%	1	0	0	0	0	0	0	0	0	0	0	
cvi71	E3_13E_13_03	bagged_flower	full_sun	victor	vi	vi7	2023-12-14	2024-10-06	2024-10-29	515fA	806r3	17,900	2024-12-07	2024-10-07	ITS1fA	ITS2r4	20,200	2024-12-29	1	dAB	0,1%	1	0	0	1	2	0	0	0	0	0	0	
cvi72	F3_13F_13_03	bagged_flower	full_sun	victor	vi	vi7	2023-12-14	2024-10-06	2024-10-29	515fA	806r3	24,800	2024-12-07	2024-10-07	ITS1fA	ITS2r4	52,000	2024-12-29	1	dAB	0,1%	1	0	0	1	1	0	0	0	0	0	0	
cvi73	G3_13G_13_03	bagged_flower	full_sun	victor	vi	vi7	2023-12-14	2024-10-06	2024-10-29	515fA	806r3	17,600	2024-12-07	2024-10-07	ITS1fA	ITS2r4	55,800	2024-12-29	1	dAB	0,1%	1	0	0	0	0	0	0	0	0	0	0	
cviEC	B1_13B_13_12	extraction_control	extraction_control	extraction_control	extraction_control	extraction_control	NA	2024-10-06	2024-10-29	515fA	806r3	1,330	2024-12-07	2024-10-07	ITS1fA	ITS2r4	0,806	2024-12-29	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
cviNC	A1_13A_13_12	negative_pcr_control	negative_pcr_control	negative_pcr_control	negative_pcr_control	negative_pcr_control	NA	NA	2024-10-29	515fA	806r3	1,570	2024-12-07	2024-10-07	ITS1fA	ITS2r4	0,616	2024-12-29	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
cviPC	H3_20H_13_03	mock_community	mock_community	mock_community	mock_community	mock_community	NA	NA	2024-10-29	515fA	806r3	14,500	2024-12-07	2024-10-07	ITS1fA	ITS2r4	20,600	2024-12-29	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
pvi11	C4_14C_13_04	unbagged_flower	full_sun	victor	vi	vi1	2023-12-14	2024-10-08	2024-10-31	515fA	806r4	120,000	2024-12-17	2024-10-09	ITS1fB	ITS2r1	65,000	2024-12-29	1	dAB	0,1%	1	0	0	0	0	0	0	1	0	5	0	
pvi12	D4_14B_13_04	unbagged_flower	full_sun	victor	vi	vi1	2023-12-14	2024-10-08	2024-10-31	515fA	806r4	40,200	2024-12-17	2024-10-09	ITS1fB	ITS2r1	44,400	2024-12-29	1	dAB	0,1%	1	0	0	1	1	1	58	1	0	5	0	
pvi13	E4_13E_13_04	unbagged_flower	full_sun	victor	vi	vi1	2023-12-14	2024-10-08	2024-10-31	515fA	806r4	55,000	2024-12-17	2024-10-09	ITS1fB	ITS2r1	51,400	2024-12-29	1	dAB	0,1%	1	1	14	1	14	1	19	1	0	5	0	
pvi21	F4_13F_13_04	unbagged_flower	full_sun	victor	vi	vi2	2023-12-14	2024-10-08	2024-10-31	515fA	806r4	23,600	2024-12-17	2024-10-09	ITS1fB	ITS2r1	4,620	2024-12-29	1	dAB	0,1%	1	0	0	1	1	0	0	1	0	2	0	
pvi22	G4_13G_13_04	unbagged_flower	full_sun	victor	vi	vi2	2023-12-14	2024-10-08	2024-10-31	515fA	806r4	58,800	2024-12-17	2024-10-09	ITS1fB	ITS2r1	9,680	2024-12-29	1	dAB	0,1%	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	
pvi23	H4_20H_13_04	unbagged_flower	full_sun	victor	vi	vi2	2023-12-14	2024-10-08	2024-10-31	515fA	806r4	44,400	2024-12-17	2024-10-09	ITS1fB	ITS2r1	25,600	2024-12-29	1	dAB	0,1%	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	
pvi31	A5_13A_19_08	unbagged_flower	full_sun	victor	vi	vi3	2023-12-14	2024-10-08	2024-10-31	515fA	806r4	44,000	2024-12-17	2024-10-09	ITS1fB	ITS2r1	30,800	2024-12-29	1	dAB	0,1%	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	
pvi32	B5_13B_19_08	unbagged_flower	full_sun	victor	vi	vi3	2023-12-14	2024-10-08	2024-10-31	515fA	806r4	31,200	2024-12-17	2024-10-09	ITS1fB	ITS2r1	4,960	2024-12-29	1	dAB	0,1%	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	
pvi33	C5_14C_19_08	unbagged_flower	full_sun	victor	vi	vi3	2023-12-14	2024-10-08	2024-10-31	515fA	806r4	72,200	2024-12-17	2024-10-09	ITS1fB	ITS2r1	75,400	2024-12-29	1	dAB	0,1%	1	1	7	1	10	1	15	0	0	0	0	
pvi41	D5_14B_19_08	unbagged_flower	full_sun	victor	vi	vi4	2023-12-14	2024-10-08	2024-10-31	515fA	806r4	39,400	2024-12-17	2024-10-09	ITS1fB	ITS2r1	49,200	2024-12-29	1	dAB	0,1%	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	
pvi42	E5_13E_19_08	unbagged_flower	full_sun	victor	vi	vi4	2023-12-14	2024-10-08	2024-10-31	515fA	806r4	52,800	2024-12-17	2024-10-09	ITS1fB	ITS2r1	36,000	2024-12-29	1	dAB	0,1%	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	
pvi43	F5_13F_19_08	unbagged_flower	full_sun	victor	vi	vi4	2023-12-14	2024-10-08	2024-10-31	515fA	806r4	37,600	2024-12-17	2024-10-09	ITS1fB	ITS2r1	28,800	2024-12-29	1	dAB	0,1%	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	
pvi51	G5_13G_19_08	unbagged_flower	full_sun	victor	vi	vi5	2023-12-14	2024-10-08	2024-10-31	515fA	806r4	36,4	2024-12-17	2024-10-09	ITS1fB	ITS2r1	6,780	2024-12-29	1	dAB	0,1%	1	0	0	0	0	0	0	1	0	3	0	
pvi52	H5_20H_19_08	unbagged_flower	full_sun	victor	vi	vi5	2023-12-14	2024-10-08	2024-10-31	515fA	806r4	27,400	2024-12-17	2024-10-09	ITS1fB	ITS2r1	7,640	2024-12-29	1	dAB	0,1%	1	0	0	1	4	0	0	1	0	2	0	
pvi53	A6_13A_13_06	unbagged_flower	full_sun	victor	vi	vi5	2023-12-14	2024-10-08	2024-10-31	515fA	806r4	81,400	2024-12-17	2024-10-09	ITS1fB	ITS2r1	30,800	2024-12-29	1	dAB	0,1%	1	0	0	0	0	0	0	1	0	5	0	
pvi61	B6_13B_13_06	unbagged_flower	full_sun	victor	vi	vi6	2023-12-14	2024-10-08	2024-10-31	515fA	806r4	86,000	2024-12-17	2024-10-09	ITS1fB	ITS2r1	27,400	2024-12-29	1	dAB	0,1%	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	
